sym,date,d,entry,sl,tp1,tp2,outcome,ret,bars,filled,entry_ts,exit_ts,sl_dist,mae,mfe,atr_pct,mom20,pos20_abs,gap,clt50,s20lt50,off_mid,fee,slip,ret_gross
BTC-USDT,2025-01-16,long,99999.6,95999.61600000001,104999.58,111999.552,TP1,4.899999999999996,4,False,2025-01-17 00:00:00+00:00,2025-01-17 20:00:00+00:00,3.9999999999999964,0.036000144000576,5.841023364093456,62.0,6.036917961029165,1.0173055865094787,2,False,True,0.9122542805046222,0.1,0.0,4.999999999999996
BTC-USDT,2025-02-05,short,96618.3,100483.032,90821.20199999999,77178.69803999999,TP1,5.900000000000014,115,False,2025-02-06 00:00:00+00:00,2025-02-25 08:00:00+00:00,4.0000000000000036,3.649101671215491,8.732403695780205,95.0,-3.381313525254104,1.2333779847181965,1,True,False,0.4832547467733494,0.1,0.0,6.000000000000013
BTC-USDT,2025-03-27,long,85128.99318067127,81723.83345344441,89385.44283970483,95344.47236235184,SL,-4.6600000000000055,8,True,2025-03-28 08:00:00+00:00,2025-03-29 20:00:00+00:00,4.000000000000005,4.114806307220141,0.6035626642949581,8.0,0.499395632189481,0.8617205458488324,1,True,True,-0.49999999999999845,0.1,0.5600000000000004,-4.000000000000005
BTC-USDT,2025-04-13,long,83765.0,80414.4,87953.25,93816.80000000002,TP1,4.9,45,False,2025-04-14 00:00:00+00:00,2025-04-21 16:00:00+00:00,4.000000000000007,0.7922163194651773,5.622037843968248,56.00000000000001,-4.2761199402561285,0.17818307339117123,1,True,True,0.0929975220106917,0.1,0.0,5.0
BTC-USDT,2025-06-18,short,104834.2,109027.568,98544.14799999999,83741.55895999998,TP1,5.90000000000001,23,False,2025-06-19 00:00:00+00:00,2025-06-23 00:00:00+00:00,4.000000000000002,1.5700029188947966,6.39218880861398,30.0,-0.6766563964967665,0.3025112460678778,1,False,False,0.2064091850418421,0.1,0.0,6.00000000000001
ETH-USDT,2025-06-18,short,2523.72,2624.6688,2372.2967999999996,2015.9475359999992,TP1,5.9000000000000075,10,False,2025-06-19 00:00:00+00:00,2025-06-20 20:00:00+00:00,4.000000000000005,1.7684212194696762,6.368376840536978,49.0,-4.056386432584924,0.3563496046789636,1,False,False,0.11852330478639671,0.1,0.0,6.000000000000007
ETH-USDT,2025-06-20,short,2405.48,2501.6992,2261.1512000000002,1921.497424,TP1,5.8999999999999915,5,False,2025-06-21 00:00:00+00:00,2025-06-22 00:00:00+00:00,4.0,1.7601476628365291,8.118130269218627,49.0,-4.811501066452461,1.1678812949112505,1,True,False,0.22713951222705872,0.1,0.0,5.999999999999991
BTC-USDT,2025-06-25,long,107278.0,102986.87999999999,112641.90000000001,120151.36000000003,TP1,4.900000000000008,88,False,2025-06-26 00:00:00+00:00,2025-07-10 20:00:00+00:00,4.000000000000009,2.0767538544715545,6.054922724137294,56.00000000000001,5.736572249743244,0.5227195531604185,1,False,False,0.5120282799466624,0.1,0.0,5.000000000000008
ETH-USDT,2025-07-03,long,2590.1,2486.4959999999996,2719.6050000000005,2900.9120000000007,SL,-4.660000000000012,4,False,2025-07-04 00:00:00+00:00,2025-07-04 20:00:00+00:00,4.000000000000011,4.521060962897182,0.477973823404506,45.0,0.48338790521562647,0.975220220344091,1,False,True,0.7624545358765155,0.1,0.560000000000001,-4.000000000000011
ETH-USDT,2025-07-06,long,2569.35,2466.576,2697.8174999999997,2877.6719999999996,TP1,4.899999999999991,16,False,2025-07-07 00:00:00+00:00,2025-07-09 20:00:00+00:00,3.999999999999996,2.345340261155536,8.810010313892624,32.0,1.024657038717569,0.8872991975874307,2,False,True,0.6693436057203618,0.1,0.0,4.99999999999999
BTC-USDT,2025-08-24,short,113443.2,117980.928,106636.608,90618.42815999998,SL,-4.660000000000002,226,False,2025-08-25 00:00:00+00:00,2025-10-01 20:00:00+00:00,4.000000000000003,4.175481650729178,5.493938816958619,97.0,-1.354596916548556,0.991569686455934,1,True,False,0.4043317756140105,0.1,0.5599999999999999,-4.000000000000003
ETH-USDT,2025-09-06,short,4271.6,4442.464000000001,4015.3039999999996,3412.154079999998,SL,-4.660000000000013,21,False,2025-09-07 00:00:00+00:00,2025-09-10 16:00:00+00:00,4.0000000000000115,4.263976027717937,0.084043449761217,82.0,-4.470321973212499,0.653600627936733,1,False,False,0.1820106656933178,0.1,0.5600000000000013,-4.0000000000000115
ETH-USDT,2025-10-04,long,4485.39,4305.9744,4709.659500000001,5023.636800000001,TP1,4.9000000000000075,10,False,2025-10-05 00:00:00+00:00,2025-10-06 20:00:00+00:00,4.000000000000005,0.4541411114752539,5.564733501434645,34.0,-2.620866631495977,0.9770304823713833,3,False,True,0.9168992595129284,0.1,0.0,5.000000000000007
BTC-USDT,2025-10-31,short,109547.3,113929.19200000001,102974.462,87506.38323999997,TP1,5.900000000000004,21,False,2025-11-01 00:00:00+00:00,2025-11-04 16:00:00+00:00,4.000000000000006,1.5083895267158516,6.113797419014435,82.0,-0.9643444771909482,0.2707445335075876,2,True,True,0.10711638850977587,0.1,0.0,6.0000000000000036
ETH-USDT,2025-12-08,long,3123.15,2998.224,3279.3075,3497.928,TP1,4.899999999999993,4,False,2025-12-09 00:00:00+00:00,2025-12-09 20:00:00+00:00,3.9999999999999982,1.1110577461857507,8.809375150088856,20.0,0.022418293327364225,0.8009805443539475,1,True,True,0.07725616648745,0.1,0.0,4.999999999999993
BTC-USDT,2025-12-15,short,86390.9,89846.536,81207.446,69009.05092000001,SL,-4.659999999999998,9,False,2025-12-16 00:00:00+00:00,2025-12-17 16:00:00+00:00,3.9999999999999987,4.582774343131055,1.351646990597386,37.0,-1.0549523547736972,1.114293769892484,3,True,True,0.7813423884919802,0.1,0.5599999999999994,-3.9999999999999987
BTC-USDT,2026-01-03,long,90587.9,86964.38399999999,95117.295,101458.448,TP1,4.900000000000006,59,False,2026-01-04 00:00:00+00:00,2026-01-14 00:00:00+00:00,4.0000000000000036,1.457037860464802,6.832148664446362,5.0,2.806912815810314,1.0609489916555657,1,False,True,0.798640706369577,0.1,0.0,5.000000000000005
BTC-USDT,2026-03-12,long,70479.6,67660.416,74003.58000000002,78937.15200000003,TP1,4.900000000000015,18,False,2026-03-13 00:00:00+00:00,2026-03-16 04:00:00+00:00,4.0000000000000115,0.3254842535996355,5.4439866287549785,43.0,3.6672040290411267,0.7806589634056683,1,True,True,0.3047396638385217,0.1,0.0,5.000000000000014
ETH-USDT,2026-03-14,long,2095.33,2011.5167999999999,2200.0965,2346.7696,TP1,4.900000000000009,5,False,2026-03-15 00:00:00+00:00,2026-03-16 00:00:00+00:00,4.000000000000003,0.6237680938085987,5.138570058176997,9.0,7.072849171146478,0.7808792048225581,2,True,True,0.32951458839381703,0.1,0.0,5.000000000000009
BTC-USDT,2026-03-22,short,71523.4242857143,74384.36125714287,67232.01882857144,57132.91131942858,TP1,5.8999999999999995,23,True,2026-03-23 12:00:00+00:00,2026-03-27 12:00:00+00:00,3.9999999999999996,0.6509415886267841,7.484155490557883,34.0,-1.4078590687432446,0.8100848930582085,1,True,False,-0.4999999999999994,0.1,0.0,5.999999999999999
BTC-USDT,2026-04-09,long,71759.0,68888.64,75346.95,80370.08,TP1,4.899999999999997,27,False,2026-04-10 00:00:00+00:00,2026-04-14 16:00:00+00:00,4.000000000000001,1.815800108697167,5.910060062152483,30.0,1.8201889432177154,1.1779733060918525,2,False,True,0.5208572699972706,0.1,0.0,4.9999999999999964
ETH-USDT,2026-04-09,long,2189.02,2101.4592,2298.4710000000005,2451.7024000000006,TP1,4.900000000000023,10,False,2026-04-10 00:00:00+00:00,2026-04-11 20:00:00+00:00,4.000000000000009,0.6509762359411975,6.43347251281395,3.0,2.0522144522144403,0.8683085872880818,2,False,False,0.3807011522352322,0.1,0.0,5.000000000000022
ETH-USDT,2026-05-11,long,2286.8914285714286,2195.4157714285716,2401.236,2561.3183999999997,SL,-4.659999999999993,23,True,2026-05-12 08:00:00+00:00,2026-05-16 08:00:00+00:00,3.9999999999999947,4.660974598081982,1.5671304278296672,0.0,0.5433754621270825,0.22661361077361142,3,False,False,-0.5000000000000009,0.1,0.5599999999999988,-3.9999999999999947
ETH-USDT,2026-07-04,long,1780.0,1708.8,1869.0,1993.6000000000001,TP1,4.9,57,False,2026-07-05 00:00:00+00:00,2026-07-14 16:00:00+00:00,4.000000000000003,3.8022471910112396,6.094382022471912,35.0,3.21233909312304,1.230009155820432,1,True,True,0.8723223511969113,0.1,0.0,5.0
BTC-USDT,2026-07-06,long,64025.5,61464.479999999996,67226.77500000001,71708.56000000001,TP1,4.900000000000014,261,False,2026-07-07 00:00:00+00:00,2026-08-19 16:00:00+00:00,4.000000000000006,3.9215625024404384,9.486376521854568,41.0,-2.4725546735883563,0.9090329639680925,1,True,True,0.36916090977709276,0.1,0.0,5.000000000000013
ETH-USDT,2026-08-07,long,1912.97,1836.4512,2008.6185,2142.5264,TP1,4.9,69,False,2026-08-08 00:00:00+00:00,2026-08-19 16:00:00+00:00,4.000000000000003,3.167848946925469,11.512987657935044,0.0,2.750623066345814,0.30228011676092986,2,False,False,0.1893860561914682,0.1,0.0,5.0
